date,ext_predictor,grain,y
2000-01-01 00:00:00,42,g0,0.6714453325976459
2000-01-01 01:00:00,43,g0,1.7343437266900585
2000-01-01 02:00:00,44,g0,2.886301176766316
2000-01-01 03:00:00,45,g0,3.8698422186849197
2000-01-01 04:00:00,46,g0,4.238107371132627
2000-01-01 05:00:00,47,g0,5.232474649152101
2000-01-01 06:00:00,48,g0,6.999301338067075
2000-01-01 07:00:00,49,g0,7.691413304622902
2000-01-01 08:00:00,50,g0,8.409156254779877
2000-01-01 09:00:00,51,g0,9.8436691993358
2000-01-01 10:00:00,52,g0,10.31179344624206
2000-01-01 11:00:00,53,g0,11.918600415451458
2000-01-01 12:00:00,54,g0,12.285360287690223
2000-01-01 13:00:00,55,g0,13.245009138265365
2000-01-01 14:00:00,56,g0,14.295057900079346
2000-01-01 15:00:00,57,g0,15.410188580919806
2000-01-01 16:00:00,58,g0,16.797158324597703
2000-01-01 17:00:00,59,g0,17.58501531721753
2000-01-01 18:00:00,60,g0,18.676193418992582
2000-01-01 19:00:00,61,g0,19.6379995001843
2000-01-01 20:00:00,62,g0,20.415969626700036
2000-01-01 21:00:00,63,g0,21.245748856156617
2000-01-01 22:00:00,64,g0,22.42052218325869
2000-01-01 23:00:00,65,g0,23.04183180973496
2000-01-02 00:00:00,66,g0,24.558729796693658
2000-01-02 01:00:00,67,g0,25.71565362684869
2000-01-02 02:00:00,68,g0,26.192953614478053
2000-01-02 03:00:00,69,g0,27.27178642974302
2000-01-02 04:00:00,70,g0,28.073188574054033
2000-01-02 05:00:00,71,g0,29.274564883492417
2000-01-01 00:00:00,42,g1,5.823187932151618
2000-01-01 01:00:00,43,g1,6.563513627961172
2000-01-01 02:00:00,44,g1,7.797363456394212
2000-01-01 03:00:00,45,g1,8.66674853930679
2000-01-01 04:00:00,46,g1,9.836249486442608
2000-01-01 05:00:00,47,g1,10.044006312339082
2000-01-01 06:00:00,48,g1,11.561346912539939
2000-01-01 07:00:00,49,g1,12.374478473310392
2000-01-01 08:00:00,50,g1,13.764054794386109
2000-01-01 09:00:00,51,g1,14.748346525473215
2000-01-01 10:00:00,52,g1,15.76134324493022
2000-01-01 11:00:00,53,g1,16.58230417639845
2000-01-01 12:00:00,54,g1,17.077280943999277
2000-01-01 13:00:00,55,g1,18.9904089130806
2000-01-01 14:00:00,56,g1,19.962427126814106
2000-01-01 15:00:00,57,g1,20.37402711092445
2000-01-01 16:00:00,58,g1,21.015023733185668
2000-01-01 17:00:00,59,g1,22.296588678341752
2000-01-01 18:00:00,60,g1,23.737647254840347
2000-01-01 19:00:00,61,g1,24.476272589527476
2000-01-01 20:00:00,62,g1,25.075997822884784
2000-01-01 21:00:00,63,g1,26.767920505125137
2000-01-01 22:00:00,64,g1,27.36314751535718
2000-01-01 23:00:00,65,g1,28.196815517085064
2000-01-02 00:00:00,66,g1,29.217351136949116
2000-01-02 01:00:00,67,g1,30.09165090899887
2000-01-02 02:00:00,68,g1,31.4276180859429
2000-01-02 03:00:00,69,g1,32.816507225087705
2000-01-02 04:00:00,70,g1,33.41996808341158
2000-01-02 05:00:00,71,g1,34.17736713973752
